Ano ,UF do Municipio ,Valor FOB (US$) ,Quilograma Liquido
2003 ,AP ,19880004 ,398407971
2003 ,AM ,1280975623 ,213637432
2003 ,BA ,3187686861 ,7128796262
2003 ,CE ,739102654 ,528852913
2003 ,DF ,6003012 ,6284308
2003 ,ES ,3744085612 ,47137620539
2003 ,Exterior ,48919 ,18038
2003 ,GO ,637252807 ,1956461440
2003 ,MA ,812158534 ,6178817540
2003 ,MT ,1111117954 ,4234776342
2003 ,MS ,277769823 ,2725275050
2003 ,MG ,7032576998 ,91956458003
2003 ,PA ,2615474600 ,55306416607
2003 ,PB ,165421126 ,240237847
2003 ,PR ,6517427990 ,15798013605
2003 ,PE ,451141447 ,841183842
2003 ,PI ,41114874 ,35449058
2003 ,RJ ,4362909804 ,22015788059
2003 ,RN ,311632630 ,1154199797
2003 ,RS ,7494300831 ,11438867057
2003 ,RO ,145277459 ,198252965
2003 ,RR ,3221603 ,12517464
2003 ,SC ,4304318761 ,5434592452
2003 ,SP ,27094877832 ,43675986316
2003 ,SE ,35617933 ,307494592
2003 ,TO ,49494557 ,208647181
2002 ,AC ,3643694 ,6875721
2002 ,Al ,271893048 ,1582470702
2002 ,AP ,16343003 ,280012019
2002 ,AM ,1040692151 ,168589905
2002 ,BA ,2309066974 ,6240432807
2002 ,CE ,509674519 ,290780927
2002 ,DF ,4025818 ,11356738
2002 ,ES ,3164912545 ,44611052289
2002 ,Exterior ,427398 ,47829
2002 ,GO ,483514663 ,1305500231
2002 ,MA ,714180528 ,3797132804
2002 ,MT ,880719414 ,3847656025
2002 ,MS ,191182001 ,2096609987
2002 ,MG ,5543065804 ,83182326794
2002 ,PA ,2219949140 ,55864184557
2002 ,PB ,120061159 ,266744337
2002 ,PR ,5141392749 ,14170805501
2002 ,PE ,314413775 ,580587392
2002 ,PI ,36297747 ,22932823
2002 ,RJ ,4202883677 ,24641923819
2002 ,RN ,214351904 ,643149210
2002 ,RS ,6057019552 ,8672529917
2002 ,RO ,105687978 ,164638336
2002 ,RR ,5688549 ,27497555
2002 ,SC ,3560910298 ,4766306401
2002 ,SP ,22991858820 ,38059625097
2002 ,SE ,35802943 ,123522338
2002 ,TO ,7498252 ,36513872
2001 ,AC ,5710356 ,3895502
2001 ,Al ,259749830 ,1289384658
2001 ,AP ,28997761 ,375407451
2001 ,AM ,859083777 ,157441135
2001 ,BA ,2066727477 ,6950745476
2001 ,CE ,522026636 ,764831153
2001 ,DF ,2841252 ,8691414
