Ano,Descricao,Total,Quantidade
nov/08,Suco_de_laranja,97441059,2156164
nov/08,Soja,311204065,723592745
nov/08,Cafe,431973174,171472166
dez/08,Suco_de_laranja,70395582,2309460
dez/08,Soja,332309772,750385331
dez/08,Cafe,395226141,163901054
jan/09,Suco_de_laranja,85240177,591210
jan/09,Soja,252959462,614533775
jan/09,Cafe,281088397,125426873
fev/09,Suco_de_laranja,51856177,338221
fev/09,Soja,264420003,689462091
fev/09,Cafe,303513459,137428497
mar/09,Suco_de_laranja,67429244,636790
mar/09,Soja,973432461,2642917362
mar/09,Cafe,301397627,138937959
abr/09,Suco_de_laranja,28008188,736778
abr/09,Soja,1541992716,4493192256
abr/09,Cafe,295847603,139335836
mai/09,Suco_de_laranja,73634338,434534
mai/09,Soja,1723759803,4679252417
mai/09,Cafe,261484697,122358744
jun/09,Suco_de_laranja,49832249,1009925
jun/09,Soja,2576884548,6174379469
jun/09,Cafe,315817824,141130153
jul/09,Suco_de_laranja,40890304,2007959
jul/09,Soja,1467994595,3347247694
jul/09,Cafe,263781788,116852365
ago/09,Suco_de_laranja,66380487,3549002
ago/09,Soja,1306234492,2979620776
ago/09,Cafe,338451181,143946665
set/09,Suco_de_laranja,52302964,2361826
set/09,Soja,817739522,1830429968
set/09,Cafe,352500491,146707010
out/09,Suco_de_laranja,53354879,2355309
out/09,Soja,315674629,722695249
out/09,Cafe,351278349,144162084
nov/09,Suco_de_laranja,63554148,2125010
nov/09,Soja,84128257,185808402
nov/09,Cafe,363732950,146486907
dez/09,Suco_de_laranja,73413812,1852419
dez/09,Soja,99044463,203144890
dez/09,Cafe,361596244,141688205
jan/10,Suco_de_laranja,29745798,547172
jan/10,Soja,45344090,93039825
jan/10,Cafe,322342046,124980124
fev/10,Suco_de_laranja,57076087,817000
fev/10,Soja,265511705,663770956
fev/10,Cafe,326243146,125214069
mar/10,Suco_de_laranja,83137449,357215
mar/10,Soja,1164902411,3086118917
mar/10,Cafe,388014120,149718999
abr/10,Suco_de_laranja,57417596,321213
abr/10,Soja,1797294094,4913089458
abr/10,Cafe,348204825,132220558
mai/10,Suco_de_laranja,47294085,331168
mai/10,Soja,2089591498,5696187620
mai/10,Cafe,323691844,125139395
jun/10,Suco_de_laranja,35384447,1290057
jun/10,Soja,1488413735,4039679961
jun/10,Cafe,292831664,115623436
jul/10,Suco_de_laranja,63939695,1806140
jul/10,Soja,1495975867,3999165158
jul/10,Cafe,361589202,132722133
ago/10,Suco_de_laranja,66794784,2373079
ago/10,Soja,1155819865,2966414860
ago/10,Cafe,485138298,168792449
set/10,Suco_de_laranja,87577413,2635906
set/10,Soja,824129024,2008563077
set/10,Cafe,540890713,177264941
out/10,Suco_de_laranja,57090038,1508542
out/10,Soja,430532901,1013266827
out/10,Cafe,588213323,185038207
nov/10,Suco_de_laranja,47309798,1696256
nov/10,Soja,139526287,301253588
nov/10,Cafe,590723991,177194692
dez/10,Suco_de_laranja,52451807,14895002
dez/10,Soja,145958502,292605816
dez/10,Cafe,633402779,180400324
