VALORES CORRENTES;;;;;;;;;;;;;;;;;;;;;;;
(1.000.000 R$);;;;;;;;;;;;;;;;;;;;;;;
Período;AGROPECUÁRIA;INDÚSTRIA;;;;;SERVIÇOS;;;;;;;;VA;Imposto;PIB;Consumo das Famílias;Consumo do Governo;Formação Bruta de Capital Fixo;Variação de Estoques;Exportação;Importação
;Total;Indústrias extrativas;Indústrias de transformação;Eletricidade e gás, água, esgoto, ativ. de gestão de resíduos;Construção;Total;Comércio;Transporte, armazenagem e correio;Informação e comunicação ;Atividades financeiras, de seguros e serviços relacionados;Atividades Imobiliárias;Outras atividades de serviços;Adm., defesa, saúde e educação públicas e seguridade social;Total;;;;;;;;;
2001.I;17.485;3.806;42.555;10.740;17.865;74.965;21.963;7.354;10.427;18.490;30.318;43.215;41.234;173.002;265.452;47.018;312.470;203.369;55.190;61.689;1.547;33.576;42.902
2001.II;17.314;4.163;42.455;9.677;17.687;73.981;23.239;10.194;11.485;16.886;31.697;45.379;44.027;182.907;274.203;49.521;323.724;210.284;58.687;62.067;426;40.837;48.577
2001.III;14.694;5.453;43.904;8.832;17.592;75.782;23.335;11.383;16.091;21.650;32.113;44.201;43.967;192.740;283.216;49.308;332.524;211.486;59.988;60.427;6.445;45.701;51.523
2001.IV;13.676;4.755;43.312;8.048;17.038;73.153;24.864;11.758;13.366;22.885;34.005;48.877;54.968;210.722;297.551;49.487;347.038;218.362;80.645;58.153;-4.158;42.667;48.633
2001;63.170;18.176;172.226;37.296;70.182;297.881;93.401;40.689;51.369;79.912;128.133;181.672;184.196;759.371;1.120.422;195.334;1.315.755;843.501;254.510;242.337;4.260;162.781;191.634
2002.I;22.074;3.308;39.380;11.633;19.263;73.585;19.657;10.703;12.882;22.206;33.098;50.351;46.824;195.721;291.380;50.916;342.297;215.913;65.697;62.806;1.804;34.812;38.735
2002.II;21.534;4.042;48.348;11.252;20.670;84.313;23.407;12.357;12.871;20.920;33.795;54.746;50.232;208.326;314.173;53.190;367.363;225.796;71.519;65.569;7.826;38.896;42.244
2002.III;21.463;7.651;46.476;10.561;21.206;85.894;25.909;12.915;13.333;27.828;34.341;53.312;49.792;217.429;324.786;55.008;379.795;233.655;68.751;67.912;-235;65.894;56.182
2002.IV;16.444;10.739;49.765;9.773;20.840;91.116;29.268;10.707;15.080;29.621;35.278;49.819;62.541;232.315;339.875;59.459;399.333;246.172;88.957;70.596;-16.499;72.262;62.154
2002;81.515;25.741;183.969;43.218;81.980;334.908;98.240;46.682;54.167;100.574;136.512;208.228;209.389;853.792;1.270.215;218.573;1.488.787;921.536;294.924;266.884;-7.104;211.863;199.315
