"Ano,Mes,""Codigo SH4"",""Descrição SH4"",""Valor FOB (US$)"""
"2003,02,1201,""Soja, mesmo triturada"",40658869"
"2002,09,1201,""Soja, mesmo triturada"",768879297"
"2002,07,1201,""Soja, mesmo triturada"",475948036"
"2002,10,1201,""Soja, mesmo triturada"",353345438"
"2002,08,1201,""Soja, mesmo triturada"",336591884"
"2002,04,1201,""Soja, mesmo triturada"",288120366"
"2002,06,1201,""Soja, mesmo triturada"",217588612"
"2002,05,1201,""Soja, mesmo triturada"",217093531"
"2002,12,1201,""Soja, mesmo triturada"",121195326"
"2002,03,1201,""Soja, mesmo triturada"",111716438"
"2002,11,1201,""Soja, mesmo triturada"",99035723"
"2002,01,1201,""Soja, mesmo triturada"",26164097"
"2002,02,1201,""Soja, mesmo triturada"",14276816"
"2001,08,1201,""Soja, mesmo triturada"",445356745"
"2001,06,1201,""Soja, mesmo triturada"",435667608"
"2001,05,1201,""Soja, mesmo triturada"",416279892"
"2001,07,1201,""Soja, mesmo triturada"",337766313"
"2001,04,1201,""Soja, mesmo triturada"",336058402"
"2001,09,1201,""Soja, mesmo triturada"",280168399"
"2001,03,1201,""Soja, mesmo triturada"",161880205"
"2001,10,1201,""Soja, mesmo triturada"",156751356"
"2001,01,1201,""Soja, mesmo triturada"",58188005"
"2001,12,1201,""Soja, mesmo triturada"",41651477"
"2001,11,1201,""Soja, mesmo triturada"",36063289"
"2001,02,1201,""Soja, mesmo triturada"",19676199"
"2000,08,1201,""Soja, mesmo triturada"",380247150"
"2000,07,1201,""Soja, mesmo triturada"",353263286"
"2000,06,1201,""Soja, mesmo triturada"",345376332"
"2000,05,1201,""Soja, mesmo triturada"",337395241"
"2000,04,1201,""Soja, mesmo triturada"",304337612"
"2000,09,1201,""Soja, mesmo triturada"",149138414"
"2000,10,1201,""Soja, mesmo triturada"",113417053"
"2000,03,1201,""Soja, mesmo triturada"",104267700"
"2000,11,1201,""Soja, mesmo triturada"",62305085"
"2000,12,1201,""Soja, mesmo triturada"",21316319"
"2000,02,1201,""Soja, mesmo triturada"",11255384"
"2000,01,1201,""Soja, mesmo triturada"",5507660"
"1999,05,1201,""Soja, mesmo triturada"",335185885"
"1999,04,1201,""Soja, mesmo triturada"",284783936"
"1999,06,1201,""Soja, mesmo triturada"",247936561"
"1999,07,1201,""Soja, mesmo triturada"",219899125"
"1999,08,1201,""Soja, mesmo triturada"",133737112"
"1999,09,1201,""Soja, mesmo triturada"",123867077"
"1999,03,1201,""Soja, mesmo triturada"",95905889"
"1999,10,1201,""Soja, mesmo triturada"",58889797"
"1999,11,1201,""Soja, mesmo triturada"",34266290"
"1999,02,1201,""Soja, mesmo triturada"",28385880"
"1999,12,1201,""Soja, mesmo triturada"",20229134"
"1999,01,1201,""Soja, mesmo triturada"",9115549"
"1998,05,1201,""Soja, mesmo triturada"",446609880"
"1998,04,1201,""Soja, mesmo triturada"",444498412"
"1998,06,1201,""Soja, mesmo triturada"",345529153"
"1998,07,1201,""Soja, mesmo triturada"",270324268"
"1998,09,1201,""Soja, mesmo triturada"",220252674"
"1998,08,1201,""Soja, mesmo triturada"",201119257"
"1998,03,1201,""Soja, mesmo triturada"",98925349"
